30-9-2013 14:9:38.527	I : Log file <D:\JSW-SMS-3\SMC\source\Tools\Simulator\Simulator\Executable\SimLog\> deleted.;  FILE: .\CLogWriterWrapper.cpp; FUNCTION: CLogWriterWrapper::removeNeedlessLogFiles; LINE: 77; .NET Output: ->Void removeNeedlessLogFiles()->Void initViewComponent()->Void initComponent()
30-9-2013 14:9:39.73	I : Telcom_In->EAL209 Sample Taken; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.73	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.73	I : Telcom_In->EAL211 Temperature/CELOX Taken; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.89	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.89	I : Telcom_In->EAL214 Update Tap Ladle Data; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.89	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.89	I : Telcom_In->EAL215 Basket/Hotmetal Charging; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.89	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.89	I : Telcom_In->EAL216 Deslagging Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.105	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.105	I : Telcom_In->EAL217 Delay Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.105	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.105	I : Telcom_In->EAL220 Computer Modes; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.120	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.120	I : Telcom_In->EAL221 Furnace Status Roof/Gantry; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.120	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.120	I : Telcom_In->EAL222 Furnace Electrical Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.136	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.136	I : Telcom_In->EAL223 Electrical Values; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.136	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.136	I : Telcom_In->EAL224 Material Injection Availabilities; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.136	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.136	I : Telcom_In->EAL225 Material Injection Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.152	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.152	I : Telcom_In->EAL226 Material Injection Actual Values; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.167	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.167	I : Telcom_In->EAL227 Burner Gas Availabilities; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.167	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.167	I : Telcom_In->EAL228 Burner Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.183	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.183	I : Telcom_In->EAL229 Burner Actual Values; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.183	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.183	I : Telcom_In->EAL230 Oxygen Injection Availability; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.183	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.183	I : Telcom_In->EAL231 Oxygen Injector Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.183	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.183	I : Telcom_In->EAL232 Oxygen Injection Actual Values; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.198	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.198	I : Telcom_In->EAL233 Cooling Water Values; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.198	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.198	I : Telcom_In->EAL234 Status of Vessel Bottom Stirring; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.214	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.214	I : Telcom_In->EAL235 Actual Values of Vessel Stirring; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.214	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.214	I : Telcom_In->EAL236 Status of Ladle Bottom Stirring; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.214	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.214	I : Telcom_In->EAL237 Actual Values of Ladle Bottom Stirring; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.230	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.230	I : Telcom_In->EAL240 Flame Profiles; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.230	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.230	I : Telcom_In->EAL241 EAF Level 1 Parameter; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.230	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.230	I : Telcom_In->EAL250 Waste Gas Flows; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.245	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.245	I : Telcom_In->EAL260 Material Handling Report; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.245	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.245	I : Telcom_In->EAL261 Material Availabilities; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.261	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.261	I : Telcom_In->EAL262 Material Feeding System; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.261	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.261	I : Telcom_In->EAL263 Material Feeding Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.261	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.261	I : Telcom_In->EAL270 Liquid Material Handling Report; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.277	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.277	I : Telcom_In->EAL280 Phase Report; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.277	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.277	I : Telcom_In->EAL281 Basket Request; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.277	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.277	I : Telcom_In->L2HD00 Acknowledge to Level 2; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.277	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.277	I : Telcom_In->HDL201 Watchdog primary; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.277	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.277	I : Telcom_In->HDL203 Announcement of Heat; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.277	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.292	I : Telcom_In->HDL204 Start of Heat; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.292	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.292	I : Telcom_In->HDL205 End of Heat/LDL Departure; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.292	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.292	I : Telcom_In->HDL206 Heat Cancelled; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.292	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.292	I : Telcom_In->HDL209 Sample Taken; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.292	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.292	I : Telcom_In->HDL211 Temp is taken; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.292	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.308	I : Telcom_In->HDL213 Update Aim Departure Time; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.308	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.308	I : Telcom_In->HDL220 HMD Operation Modes; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.308	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.308	I : Telcom_In->HDL221 Plant Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.308	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.308	I : Telcom_In->HDL223 HMD Actual Values; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.308	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.308	I : Telcom_In->HDL260 Blowing Report; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.323	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.323	I : Telcom_In->HDL261 Material Availbilities for Powder; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.323	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.323	I : Telcom_In->HDL270 Liquid Material Handling Report; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.339	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.339	I : Telcom_In->HDL281 Treatment Steps; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.339	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.339	I : Telcom_In->L3SMC01 Cyclic alive telegram from L3; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.355	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.355	I : Telcom_In->L3SMC02 Heat Schedule From L3; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.370	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.370	I : Telcom_In->L3SMC03 Production Order Data; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.417	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.417	I : Telcom_In->L3SMC06 Steel Grade Code Definition; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.433	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.433	I : Telcom_In->L3SMC07 Delay Code Definition; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.433	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.433	I : Telcom_In->L3SMC08 Material Code Definition; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.448	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.448	I : Telcom_In->L3SMC09 Status Request; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.448	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.448	I : Telcom_In->LABSMC01 Cyclic alive telegram from LAB; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.448	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.448	I : Telcom_In->LABSMC02 Steel analysis data; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.464	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.464	I : Telcom_In->LABSMC03 Slag analysis data; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.464	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.464	I : Telcom_In->LFL200 Acknowledge to Level 2; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.464	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.464	I : Telcom_In->LFL201 Watchdog to Level 2; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.464	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.464	I : Telcom_In->LFL203 Announcement of Heat; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.480	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.480	I : Telcom_In->LFL204 Start of Heat; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.480	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.480	I : Telcom_In->LFL205 End of Heat/Ladle Departure; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.480	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.480	I : Telcom_In->LFL206 Heat Cancellation; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.480	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.480	I : Telcom_In->LFL209 Sample Taken; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.495	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.495	I : Telcom_In->LFL211 Temperature/CELOX Taken; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.495	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.495	I : Telcom_In->LFL212 Aim Temperature; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.495	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.495	I : Telcom_In->LFL213 Aim Departure Time; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.511	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.511	I : Telcom_In->LFL217 Delay Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.511	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.511	I : Telcom_In->LFL220 Computer Modes; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.511	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.511	I : Telcom_In->LFL221 Furnace Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.511	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.511	I : Telcom_In->LFL222 Electrical Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.527	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.527	I : Telcom_In->LFL223 Electrical Values; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.527	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.527	I : Telcom_In->LFL224 Bottom Stirring Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.527	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.527	I : Telcom_In->LFL225 Emergency Lance Stirring Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.542	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.542	I : Telcom_In->LFL226 Bottom Stirring Values; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
