26-9-2013 12:7:51.911	I : Log file <D:\JSW-SMS-3\SMC\source\Tools\Simulator\Simulator\Executable\SimLog\> deleted.;  FILE: .\CLogWriterWrapper.cpp; FUNCTION: CLogWriterWrapper::removeNeedlessLogFiles; LINE: 77; .NET Output: ->Void removeNeedlessLogFiles()->Void initViewComponent()->Void initComponent()
26-9-2013 12:7:52.489	I : Telcom_Out->L2EA00 Acknowledge to Level 1; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.489	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.489	I : Telcom_Out->L2EA01 Watchdog to Level 1; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.489	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.489	I : Telcom_Out->L2EA01_WATCH_DOG Watchdog to Level; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.489	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.489	I : Telcom_Out->L2EA03 Heat Announcement; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.520	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.520	I : Telcom_Out->L2EA05 Burner Pattern; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.520	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.520	I : Telcom_Out->L2EA06 Heat Cancelled; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.520	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.520	I : Telcom_Out->L2EA07 Computer Mode Availability; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.520	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.520	I : Telcom_Out->L2EA20 Voltage Tap / Regulation Curve; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.536	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.536	I : Telcom_Out->L2EA23 Release / Inhibit Electrodes; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.536	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.536	I : Telcom_Out->L2EA30 Electric Heating Phase Data; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.536	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.536	I : Telcom_Out->L2EA31 Lime Injection Lance Pattern; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.567	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.567	I : Telcom_Out->L2EA32 Carbon Injection Lance Pattern; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.583	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.583	I : Telcom_Out->L2EA40 EAF Process Pattern; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.583	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.583	I : Telcom_Out->L2EA40_PROC_PATT EAF Process Pattern; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.598	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.598	I : Telcom_Out->L2EA41 EAF Process Values; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.598	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.598	I : Telcom_Out->L2EA41_PROC_VALUES EAF Process Values; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.598	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.598	I : Telcom_Out->L2EA42 Weight to be tapped; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.598	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.598	I : Telcom_Out->L2EA70 Material Handling Model Results; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.630	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.630	I : Telcom_Out->L2EA70_MAT_HANDL Material Handling Model Result; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.630	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.630	I : Telcom_Out->L2EA71 Material Availability Request; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.645	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.645	I : Telcom_Out->L2EA72 Plant Status Request; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.645	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.645	I : Telcom_Out->HDL200 For acknowledge, received from basic HMD; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.645	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.645	I : Telcom_Out->L2HD01 Watchdog primary; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.645	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.645	I : Telcom_Out->L2HD01_WATCH_DOG Watchdog to Level; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.645	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.645	I : Telcom_Out->L2HD03 Heat Anounncement at HMD; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.645	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.645	I : Telcom_Out->L2HD06 Heat Cancellation by L2; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.661	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.661	I : Telcom_Out->L2HD07 Computer Mode Availability; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.661	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.661	I : Telcom_Out->L2HD25 T/Sample measurement Request; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.661	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.661	I : Telcom_Out->L2HD30 Treatment Pattern; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.661	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.661	I : Telcom_Out->L2HD71 Material Availability Request; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.676	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.676	I : Telcom_Out->L2HD72 Plant Status Request; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.676	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.676	I : Telcom_Out->SMCL301 ; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.692	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.692	I : Telcom_Out->SMCL302 Produced Heat Data EAF; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.723	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.723	I : Telcom_Out->SMCL311 Produced Heat Data LF; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.723	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.723	I : Telcom_Out->SMCL320 Heat Schedule to L3; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.739	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.739	I : Telcom_Out->SMCL323 Heat Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.739	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.739	I : Telcom_Out->SMCL324 Facility/Plant Status Report; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.739	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.739	I : Telcom_Out->SMCL325 Request Data from Level 3; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.739	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.739	I : Telcom_Out->SMCL340 Grade Change Information to L3; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.739	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.739	I : Telcom_Out->SMCLAB01 Cyclic alive telegram from SMC; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.755	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.755	I : Telcom_Out->SMCLAB02 Steel sample taken; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.755	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.755	I : Telcom_Out->SMCLAB03 Slag sample taken; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.755	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.755	I : Telcom_Out->L2LF00 Acknowledge to Level 1; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.755	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.755	I : Telcom_Out->L2LF01 Watchdog to Level 1; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.755	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.755	I : Telcom_Out->L2LF01_WATCH_DOG Watchdog to Level; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.770	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.770	I : Telcom_Out->L2LF03 Announcement of Heat; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.770	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.770	I : Telcom_Out->L2LF05 Stirring Setpoints; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.770	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.770	I : Telcom_Out->L2LF06 Heat Cancellation; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.770	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.770	I : Telcom_Out->L2LF07 Computer Mode Availability; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.770	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.770	I : Telcom_Out->L2LF20 VoltageTap/RegCurve; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.786	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.786	I : Telcom_Out->L2LF20_VOLTAGE_TAP VoltageTap/RegCurve; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.786	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.786	I : Telcom_Out->L2LF22 Pull Electrodes; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.786	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.786	I : Telcom_Out->L2LF23 Release/Inhibit Electrodes; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.786	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.786	I : Telcom_Out->L2LF25 Temp/Sample Measurement Request; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.801	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.801	I : Telcom_Out->L2LF30 Electrical Process Pattern; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.801	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.801	I : Telcom_Out->L2LF30_ELEC_PATT Electrical Process Pattern; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.817	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.817	I : Telcom_Out->L2LF31 Stirring Process Pattern; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.817	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.817	I : Telcom_Out->L2LF31_STIRR_PATT Stirring Process Pattern; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.833	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.833	I : Telcom_Out->L2LF40 L2 Model Parameter; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.833	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.833	I : Telcom_Out->L2LF70 Material Handling; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.864	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.864	I : Telcom_Out->L2LF70_MAT_HANDL Material Handling Model Result; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.864	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.864	I : Telcom_Out->L2LF71 Material Availability Request; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.880	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.880	I : Telcom_Out->L2LF72 Plant Status Request; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.880	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.880	I : Telcom_Out->SYL200 For acknowledge, received from SCY; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.880	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.880	I : Telcom_Out->L2SY91 Watchdog to Level 1; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.880	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.880	I : Telcom_Out->L2SY91_WATCH_DOG Watchdog to Level; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.895	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.895	I : Telcom_Out->L2SY92 Scrap Container Loading Instructions; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.895	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.895	I : Telcom_Out->L2SY92_SCRAP_LOAD Scrap Container Loading Instructions; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.895	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.895	I : Telcom_Out->L2SY95 Available Scrap Materials; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.911	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:7:52.911	I : Telcom_Out->L2SY95_SCRAP_MAT Available Scrap Materials; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:7:52.958	I :      73  Telegrams found;  FILE: .\Form1.cpp; FUNCTION: simulator::Form1::loadInterface; LINE: 1173; .NET Output: ->Int32 loadInterface(System.String)->Void loadInterfaces()->Void initViewComponent()
26-9-2013 12:7:52.958	I : All telegram objects removed.; FILE: ctlgcontainer.h; FUNCTION: freeTlg; LINE: 161
26-9-2013 12:18:18.419	I : All telegram objects removed.; FILE: ctlgcontainer.h; FUNCTION: freeTlg; LINE: 161
26-9-2013 12:18:18.419	I : LogFile telegramm container emptied; FILE: clogfilereader.cpp; FUNCTION: clearContainer; LINE: 489
26-9-2013 12:18:18.544	I : All telegrams (interface : Telcom_Outin szenario removed;  FILE: .\CSzenarium.cpp; FUNCTION: CSzenarium::removeAllInterTlgFromSzenarium; LINE: 700; .NET Output: ->Void removeAllInterTlgFromSzenarium(System.String)->Void removeInterfaceFromSzenarium(System.String)->Void removeInter(System.String)
26-9-2013 12:18:18.919	I : All telegram objects removed.; FILE: ctlgcontainer.h; FUNCTION: freeTlg; LINE: 161
26-9-2013 12:18:34.810	I : Interface: D:\JSW-SMS-3\SMC\source\TELCOM\TELCOM_IN\TELCOM_IN_Frame\Telcom_In.xml;  FILE: .\Form1.cpp; FUNCTION: simulator::Form1::loadInterface; LINE: 1157; .NET Output: ->Int32 loadInterface(System.String)->Void OnMenuFileLoadModelClick(System.Object, System.EventArgs)->Void OnClick(System.EventArgs)
26-9-2013 12:18:35.169	I : All telegram objects removed.; FILE: ctlgcontainer.h; FUNCTION: freeTlg; LINE: 161
26-9-2013 12:18:35.169	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:18:35.169	I : Telcom_In->Head For TelCom use only; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:18:35.169	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:18:35.169	I : Telcom_In->CCSSMC01 Required ladle arrival time from CCS; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:18:35.169	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:18:35.169	I : Telcom_In->CCSSMC02 Caster and Heat status to SMC; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:18:35.169	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:18:35.169	I : Telcom_In->EAL200 Acknowledge to Level 2; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:18:35.185	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:18:35.185	I : Telcom_In->EAL201 Watchdog to Level 2; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:18:35.185	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:18:35.185	I : Telcom_In->EAL203 Announcement of Heat; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
26-9-2013 12:18:35.185	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
26-9-2013 12:18:35.185	I : Telcom_In->EAL204 Start of Heat; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
