27-8-2013 11:3:28.749	I : Interface: D:\JSW-SMS-3\SMC\source\TELCOM\TELCOM_IN\TELCOM_IN_Frame\Telcom_In.xml;  FILE: .\Form1.cpp; FUNCTION: simulator::Form1::loadInterface; LINE: 1157; .NET Output: ->Int32 loadInterface(System.String)->Void loadInterfaces()->Void initViewComponent()
27-8-2013 11:3:29.311	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.311	I : Telcom_In->EAL223 Electrical Values; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.311	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.311	I : Telcom_In->EAL224 Material Injection Availabilities; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.311	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.311	I : Telcom_In->EAL225 Material Injection Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.327	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.327	I : Telcom_In->EAL226 Material Injection Actual Values; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.327	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.327	I : Telcom_In->EAL227 Burner Gas Availabilities; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.327	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.327	I : Telcom_In->EAL228 Burner Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.343	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.343	I : Telcom_In->EAL229 Burner Actual Values; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.343	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.343	I : Telcom_In->EAL230 Oxygen Injection Availability; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.343	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.343	I : Telcom_In->EAL231 Oxygen Injector Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.343	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.343	I : Telcom_In->EAL232 Oxygen Injection Actual Values; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.358	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.358	I : Telcom_In->EAL233 Cooling Water Values; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.358	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.374	I : Telcom_In->EAL234 Status of Vessel Bottom Stirring; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.374	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.374	I : Telcom_In->EAL235 Actual Values of Vessel Stirring; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.374	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.374	I : Telcom_In->EAL236 Status of Ladle Bottom Stirring; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.374	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.374	I : Telcom_In->EAL237 Actual Values of Ladle Bottom Stirring; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.389	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.389	I : Telcom_In->EAL240 Flame Profiles; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.389	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.389	I : Telcom_In->EAL241 EAF Level 1 Parameter; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.389	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.389	I : Telcom_In->EAL250 Waste Gas Flows; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.405	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.405	I : Telcom_In->EAL260 Material Handling Report; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.421	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.421	I : Telcom_In->EAL261 Material Availabilities; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.421	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.421	I : Telcom_In->EAL262 Material Feeding System; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.436	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.436	I : Telcom_In->EAL263 Material Feeding Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.436	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.436	I : Telcom_In->EAL270 Liquid Material Handling Report; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.436	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.436	I : Telcom_In->EAL280 Phase Report; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.436	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.436	I : Telcom_In->EAL281 Basket Request; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.452	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.452	I : Telcom_In->L2HD00 Acknowledge to Level 2; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.452	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.452	I : Telcom_In->HDL201 Watchdog primary; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.452	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.452	I : Telcom_In->HDL203 Announcement of Heat; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.468	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.468	I : Telcom_In->HDL204 Start of Heat; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.468	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.468	I : Telcom_In->HDL205 End of Heat/LDL Departure; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.468	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.468	I : Telcom_In->HDL206 Heat Cancelled; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.468	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.468	I : Telcom_In->HDL209 Sample Taken; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.468	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.468	I : Telcom_In->HDL211 Temp is taken; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.483	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.483	I : Telcom_In->HDL213 Update Aim Departure Time; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.483	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.483	I : Telcom_In->HDL220 HMD Operation Modes; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.483	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.483	I : Telcom_In->HDL221 Plant Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.483	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.483	I : Telcom_In->HDL223 HMD Actual Values; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.499	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.499	I : Telcom_In->HDL260 Blowing Report; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.499	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.499	I : Telcom_In->HDL261 Material Availbilities for Powder; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.514	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.514	I : Telcom_In->HDL270 Liquid Material Handling Report; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.514	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.514	I : Telcom_In->HDL281 Treatment Steps; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.514	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.514	I : Telcom_In->L3SMC01 Cyclic alive telegram from L3; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.546	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.546	I : Telcom_In->L3SMC02 Heat Schedule From L3; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.546	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.546	I : Telcom_In->L3SMC03 Production Order Data; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.608	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.608	I : Telcom_In->L3SMC06 Steel Grade Code Definition; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.608	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.608	I : Telcom_In->L3SMC07 Delay Code Definition; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.624	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.624	I : Telcom_In->L3SMC08 Material Code Definition; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.624	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.624	I : Telcom_In->L3SMC09 Status Request; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.624	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.639	I : Telcom_In->LABSMC01 Cyclic alive telegram from LAB; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.639	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.639	I : Telcom_In->LABSMC02 Steel analysis data; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.655	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.655	I : Telcom_In->LABSMC03 Slag analysis data; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.655	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.655	I : Telcom_In->LFL200 Acknowledge to Level 2; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.655	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.655	I : Telcom_In->LFL201 Watchdog to Level 2; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.655	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.655	I : Telcom_In->LFL203 Announcement of Heat; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.671	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.671	I : Telcom_In->LFL204 Start of Heat; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.671	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.671	I : Telcom_In->LFL205 End of Heat/Ladle Departure; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.671	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.671	I : Telcom_In->LFL206 Heat Cancellation; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.671	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.671	I : Telcom_In->LFL209 Sample Taken; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.686	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.686	I : Telcom_In->LFL211 Temperature/CELOX Taken; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.686	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.686	I : Telcom_In->LFL212 Aim Temperature; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.686	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.686	I : Telcom_In->LFL213 Aim Departure Time; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.702	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.702	I : Telcom_In->LFL217 Delay Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.702	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.702	I : Telcom_In->LFL220 Computer Modes; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.702	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.702	I : Telcom_In->LFL221 Furnace Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.702	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.702	I : Telcom_In->LFL222 Electrical Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.718	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.718	I : Telcom_In->LFL223 Electrical Values; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.718	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.718	I : Telcom_In->LFL224 Bottom Stirring Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.718	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.718	I : Telcom_In->LFL225 Emergency Lance Stirring Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.733	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.733	I : Telcom_In->LFL226 Bottom Stirring Values; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.733	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.733	I : Telcom_In->LFL230 Cooling Water; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
